Year,RU,F_System,State,Mileage,Lane_Miles,VMT,Fatalities
1980,Rural,Other Principal Arterial,West Virginia,613,7776,943000000,45
1980,Rural,Other Principal Arterial,Wisconsin,3377,1516,4834000000,194
1980,Rural,Other Principal Arterial,Wyoming,1042,2240,654000000,28
1980,Rural,Minor Arterial,Alabama,3968,8199,2789000000,192
1980,Rural,Minor Arterial,Alaska,1058,2155,268000000,16
1980,Rural,Minor Arterial,Arizona,2064,6611,1063000000,121
1980,Rural,Minor Arterial,Arkansas,3294,4334,2287000000,100
1980,Rural,Minor Arterial,California,6513,14767,6508000000,307
1980,Rural,Minor Arterial,Colorado,2000,4206,1612000000,85
1980,Rural,Minor Arterial,Connecticut,506,1018,901000000,50
1980,Rural,Minor Arterial,Delaware,185,0,360000000,15
1980,Rural,Minor Arterial,District of Columbia,0,485,0,0
1980,Rural,Minor Arterial,Florida,3828,8921,4917000000,231
1980,Rural,Minor Arterial,Georgia,6238,13077,5659000000,255
1980,Rural,Minor Arterial,Hawaii,382,789,757000000,49
1980,Rural,Minor Arterial,Idaho,949,16143,392000000,33
1980,Rural,Minor Arterial,Illinois,7726,6884,8453000000,0
1980,Rural,Minor Arterial,Indiana,3119,10319,4186000000,86
1980,Rural,Minor Arterial,Iowa,5135,2166,2663000000,99
1980,Rural,Minor Arterial,Kansas,4539,9199,1793000000,69
1980,Rural,Minor Arterial,Kentucky,1845,3696,1809000000,106
1980,Rural,Minor Arterial,Louisiana,1588,3606,2399000000,185
1980,Rural,Minor Arterial,Maine,1107,1752,1000000000,36
1980,Rural,Minor Arterial,Maryland,1346,3015,2880000000,134
1980,Rural,Minor Arterial,Massachusetts,818,2263,1511000000,45
1980,Rural,Minor Arterial,Michigan,2262,4762,3336000000,200
1980,Rural,Minor Arterial,Minnesota,5416,10937,2877000000,113
1980,Rural,Minor Arterial,Mississippi,4133,8877,2868000000,175
1980,Rural,Minor Arterial,Missouri,4326,8552,3210000000,196
1980,Rural,Minor Arterial,Montana,3334,6750,875000000,63
1980,Rural,Minor Arterial,Nebraska,4346,1406,1624000000,79
1980,Rural,Minor Arterial,Nevada,1192,4349,381000000,30
1980,Rural,Minor Arterial,New Hampshire,690,1711,1108000000,34
1980,Rural,Minor Arterial,New Jersey,702,4346,2464000000,86
1980,Rural,Minor Arterial,New Mexico,2178,9921,1318000000,133
1980,Rural,Minor Arterial,New York,4696,8188,5875000000,243
1980,Rural,Minor Arterial,North Carolina,1995,8718,2578000000,110
1980,Rural,Minor Arterial,North Dakota,4101,2392,940000000,29
1980,Rural,Minor Arterial,Ohio,3266,6978,4574000000,206
1980,Rural,Minor Arterial,Oklahoma,3284,0,2936000000,130
1980,Rural,Minor Arterial,Oregon,2449,5097,1830000000,126
1980,Rural,Minor Arterial,Pennsylvania,6245,13263,8190000000,366
1980,Rural,Minor Arterial,Rhode Island,115,274,273000000,11
1980,Rural,Minor Arterial,South Carolina,3485,7578,3877000000,149
1980,Rural,Minor Arterial,South Dakota,3437,6949,855000000,57
1980,Rural,Minor Arterial,Tennessee,4202,8844,4617000000,242
1980,Rural,Minor Arterial,Texas,6994,15281,5531000000,338
1980,Rural,Minor Arterial,Utah,1890,3866,685000000,34
1980,Rural,Minor Arterial,Vermont,776,7558,606000000,20
1980,Rural,Minor Arterial,Virginia,3687,1561,4276000000,210
1980,Rural,Minor Arterial,Washington,2622,5287,2031000000,99
1980,Rural,Minor Arterial,West Virginia,1710,10798,1622000000,115
1980,Rural,Minor Arterial,Wisconsin,5206,3671,3480000000,186
1980,Rural,Minor Arterial,Wyoming,2110,4245,772000000,57
1980,Rural,Major Collector,Alabama,10532,22272,3334000000,167
1980,Rural,Major Collector,Alaska,1810,4521,233000000,18
1980,Rural,Major Collector,Arizona,4305,23513,1470000000,91
1980,Rural,Major Collector,Arkansas,11707,9162,2524000000,171
1980,Rural,Major Collector,California,13345,26159,9542000000,848
1980,Rural,Major Collector,Colorado,7450,14111,1661000000,107
1980,Rural,Major Collector,Connecticut,1001,2011,1072000000,54
1980,Rural,Major Collector,Delaware,636,0,412000000,24
1980,Rural,Major Collector,District of Columbia,0,1300,0,0
1980,Rural,Major Collector,Florida,4790,10036,3074000000,42
1980,Rural,Major Collector,Georgia,14149,28797,5138000000,221
1980,Rural,Major Collector,Hawaii,511,1068,333000000,22
1980,Rural,Major Collector,Idaho,5016,28620,1205000000,75
1980,Rural,Major Collector,Illinois,14203,18073,4862000000,277
1980,Rural,Major Collector,Indiana,8956,26748,4731000000,74
1980,Rural,Major Collector,Iowa,13338,0,2218000000,116
1980,Rural,Major Collector,Kansas,22654,45505,2172000000,133
1980,Rural,Major Collector,Kentucky,7306,14614,3802000000,222
1980,Rural,Major Collector,Louisiana,7557,15343,4606000000,326
1980,Rural,Major Collector,Maine,3275,4268,1451000000,54
1980,Rural,Major Collector,Maryland,2048,4206,1967000000,85
1980,Rural,Major Collector,Massachusetts,2112,6576,1702000000,68
1980,Rural,Major Collector,Michigan,19040,38374,8052000000,300
1980,Rural,Major Collector,Minnesota,16438,33108,2895000000,161
1980,Rural,Major Collector,Mississippi,11736,36350,2999000000,141
1980,Rural,Major Collector,Missouri,18116,23599,4075000000,258
1980,Rural,Major Collector,Montana,6369,12861,492000000,46
1980,Rural,Major Collector,Nebraska,11388,2546,1006000000,54
1980,Rural,Major Collector,Nevada,2397,22061,846000000,64
1980,Rural,Major Collector,New Hampshire,1270,4096,955000000,35
1980,Rural,Major Collector,New Jersey,2029,10975,3170000000,118
1980,Rural,Major Collector,New Mexico,4983,12882,1116000000,119
1980,Rural,Major Collector,New York,6316,21746,4325000000,244
1980,Rural,Major Collector,North Carolina,10821,22778,8332000000,384
1980,Rural,Major Collector,North Dakota,10900,4846,756000000,25
1980,Rural,Major Collector,Ohio,11795,24094,7170000000,322
1980,Rural,Major Collector,Oklahoma,21440,0,4490000000,156
1980,Rural,Major Collector,Oregon,10090,20245,2148000000,114
1980,Rural,Major Collector,Pennsylvania,8219,16571,5170000000,254
1980,Rural,Major Collector,Rhode Island,166,352,154000000,4
1980,Rural,Major Collector,South Carolina,8863,17975,4077000000,231
1980,Rural,Major Collector,South Dakota,11266,22566,964000000,38
1980,Rural,Major Collector,Tennessee,9840,19769,3549000000,169
1980,Rural,Major Collector,Texas,34936,71106,11684000000,710
1980,Rural,Major Collector,Utah,3134,6341,688000000,58
1980,Rural,Major Collector,Vermont,1990,19831,831000000,53
1980,Rural,Major Collector,Virginia,10435,3978,4524000000,211
1980,Rural,Major Collector,Washington,7331,14554,2404000000,99
1980,Rural,Major Collector,West Virginia,6244,24668,2577000000,180
1980,Rural,Major Collector,Wisconsin,12310,11987,2816000000,185
1980,Rural,Major Collector,Wyoming,2437,4879,412000000,22
1980,Rural,Minor Collector,Alabama,6865,13730,872000000,13
1980,Rural,Minor Collector,Alaska,764,1528,46000000,2
1980,Rural,Minor Collector,Arizona,4297,10590,506000000,0
1980,Rural,Minor Collector,Arkansas,5295,8594,400000000,0
1980,Rural,Minor Collector,California,10734,21468,3301000000,423
1980,Rural,Minor Collector,Colorado,12434,24868,582000000,53
1980,Rural,Minor Collector,Connecticut,1185,2370,546000000,19
1980,Rural,Minor Collector,Delaware,160,0,57000000,7
1980,Rural,Minor Collector,District of Columbia,0,320,0,0
1980,Rural,Minor Collector,Florida,5336,10672,1937000000,37
1980,Rural,Minor Collector,Georgia,7415,14830,1051000000,22
1980,Rural,Minor Collector,Hawaii,176,352,152000000,3
1980,Rural,Minor Collector,Idaho,3943,7588,117000000,15
1980,Rural,Minor Collector,Illinois,3794,22104,439000000,0
1980,Rural,Minor Collector,Indiana,11052,32650,1513000000,66
1980,Rural,Minor Collector,Iowa,16325,7886,656000000,45
1980,Rural,Minor Collector,Kansas,9381,18762,270000000,11
1980,Rural,Minor Collector,Kentucky,9361,18722,1626000000,85
1980,Rural,Minor Collector,Louisiana,4378,8756,1093000000,58
1980,Rural,Minor Collector,Maine,2267,4136,480000000,38
1980,Rural,Minor Collector,Maryland,2044,4088,840000000,47
1980,Rural,Minor Collector,Massachusetts,2068,4534,475000000,31
1980,Rural,Minor Collector,Michigan,7522,15044,1404000000,60
1980,Rural,Minor Collector,Minnesota,12095,24190,868000000,54
1980,Rural,Minor Collector,Mississippi,2874,10958,244000000,10
