name,fips
Gloucester County,51073
Isle of Wight County,51093
James City County + Williamsburg City,51931
Mathews County,51115
York County,51199
Chesapeake City,51550
Hampton City,51650
Newport News City,51700
Norfolk City,51710
Portsmouth City,51740
Suffolk City,51800
Virginia Beach City,51810
