"id","pp","psoe","year","dtreat","voters","part"
1,44.5900001525879,38.9000015258789,2004,1,1053738,70.5999984741211
2,26.8700008392334,30.7900009155273,2004,1,247377,77.2300033569336
3,46.9500007629395,46.2599983215332,2004,1,298780,79.2699966430664
4,48.8800010681152,42.1199989318848,2004,1,1154729,77.5199966430664
5,44.2799987792969,47.689998626709,2004,1,427310,71.9400024414062
6,43.7700004577637,43.3800010681152,2004,1,986352,71.7300033569336
7,59.5400009155273,34.0200004577637,2004,1,143641,79.8600006103516
8,41.6500015258789,51.6599998474121,2004,1,538650,79.3199996948242
9,15.9499998092651,41.6599998474121,2004,1,4007330,76.1699981689453
10,51.9599990844727,38.9300003051758,2004,1,303177,78.2699966430664
11,43.5400009155273,50.5299987792969,2004,1,346760,79.1800003051758
12,33.6199989318848,50.6699981689453,2004,1,927177,69.9100036621094
13,51.9000015258789,40.8699989318848,2004,1,479189,77.2300033569336
14,45.6399993896484,44.5999984741211,2004,1,401559,78.4100036621094
15,59.2400016784668,35.7799987792969,2004,1,56751,63.4500007629395
16,46.5699996948242,48.1199989318848,2004,1,393160,78.5699996948242
17,33.7400016784668,49.8600006103516,2004,1,633155,78.5100021362305
18,49.7299995422363,45.3800010681152,2004,1,165576,81.4499969482422
19,11.4499998092651,31.6200008392334,2004,1,472443,76.0299987792969
20,37.0400009155273,51.4700012207031,2004,1,694304,75.7200012207031
21,47.5800018310547,44.1100006103516,2004,1,151106,80.1500015258789
22,15.2600002288818,26.3099994659424,2004,1,581818,72.5500030517578
23,30.5900001525879,56.189998626709,2004,1,378428,73.1999969482422
24,37.4900016784668,45.6599998474121,2004,1,176971,76.620002746582
25,45.8899993896484,39.4799995422363,2004,1,687834,68.8399963378906
26,34.1100006103516,54.4099998474121,2004,1,525955,80.4000015258789
27,49.939998626709,43.9700012207031,2004,1,234776,79.4599990844727
28,42.2099990844727,33.9199981689453,2004,1,736157,67.7200012207031
29,44.9599990844727,46.7799987792969,2004,1,450279,74.8199996948242
30,14.6199998855591,29.5699996948242,2004,1,312357,74.9899978637695
31,49.7099990844727,37.1699981689453,2004,1,347433,72.3099975585938
32,45.0200004577637,44.1100006103516,2004,1,4458540,78.9300003051758
33,36.4099998474121,49.7700004577637,2004,1,1033409,71.9000015258789
34,54.5999984741211,41.4300003051758,2004,1,49129,55.8400001525879
35,57.4199981689453,35,2004,1,941145,77.0599975585938
36,37.5999984741211,33.5499992370605,2004,1,466181,76.2200012207031
37,55.2700004577637,31.1000003814697,2004,1,355008,68.0299987792969
38,50.25,43.0800018310547,2004,1,152681,79.4400024414062
39,45.9900016784668,37.5299987792969,2004,1,848707,72.129997253418
40,54.25,39.8300018310547,2004,1,312421,76.620002746582
41,28.3400001525879,35.0099983215332,2004,1,721781,65.6699981689453
42,52.4500007629395,39.939998626709,2004,1,124638,81.1100006103516
43,27.9300003051758,58.2700004577637,2004,1,1432031,77.0800018310547
44,50.7999992370605,38.7900009155273,2004,1,78531,75.2200012207031
45,17.0200004577637,35.4900016784668,2004,1,516584,74.879997253418
46,40.8300018310547,41.0900001525879,2004,1,116141,76.3600006103516
47,47.4700012207031,46.5,2004,1,450322,80.8399963378906
48,45.75,42.189998626709,2004,1,1884604,77.6800003051758
49,46.7900009155273,44.5999984741211,2004,1,431774,81.1600036621094
50,18.7399997711182,26.7600002288818,2004,1,974742,75.8300018310547
51,53.3499984741211,39.9300003051758,2004,1,182379,74.4400024414062
52,35.5499992370605,40.2599983215332,2004,1,726811,77.25
53,37.7099990844727,42.5900001525879,2004,1,34571832,75.6600036621094
1,54.0999984741211,37.2999992370605,2004,0,106610,31
2,38.5999984741211,20.3999996185303,2004,0,3061,29.3999996185303
3,30.7999992370605,59.2999992370605,2004,0,5179,29.2000007629395
4,39.5,49.5999984741211,2004,0,21112,20.7000007629395
5,37.4000015258789,51,2004,0,18913,23.7000007629395
6,39.7999992370605,50.2000007629395,2004,0,59779,30.3999996185303
7,47.0999984741211,43.5999984741211,2004,0,5033,30.6000003814697
8,31.7999992370605,54.5,2004,0,8958,20.2000007629395
9,24.5,29.7999992370605,2004,0,77098,25.1000003814697
10,56.7999992370605,31.7000007629395,2004,0,9056,31.7999992370605
11,32.4000015258789,51.2999992370605,2004,0,13862,17.7000007629395
12,33.2999992370605,50.9000015258789,2004,0,17786,20.2000007629395
13,51.7000007629395,38.2999992370605,2004,0,17331,24.7000007629395
14,39.2000007629395,46.7999992370605,2004,0,4315,27.6000003814697
15,41.2000007629395,44,2004,0,2092,19.6000003814697
16,42.5,46.2999992370605,2004,0,4073,20.2000007629395
17,27.1000003814697,56.0999984741211,2004,0,13654,23.7000007629395
18,38.0999984741211,50.5999984741211,2004,0,2247,24.8999996185303
19,19,30.2999992370605,2004,0,7192,25.2999992370605
20,32,56,2004,0,25262,24.6000003814697
21,37.0999984741211,48.7000007629395,2004,0,1941,25.1000003814697
22,28.3999996185303,24.2000007629395,2004,0,13327,28.5
23,24.7999992370605,60.5,2004,0,4959,16.8999996185303
24,36.2999992370605,46,2004,0,4122,29.6000003814697
25,48.4000015258789,31.1000003814697,2004,0,9534,25.5
26,27.7000007629395,57.0999984741211,2004,0,8364,21.7999992370605
27,61.4000015258789,33.2000007629395,2004,0,6593,34
28,26.2000007629395,19.7000007629395,2004,0,12257,34.7999992370605
29,44.2999992370605,45.7999992370605,2004,0,28724,28.1000003814697
30,16.6000003814697,30.5,2004,0,10276,27
31,54.2999992370605,37.5999984741211,2004,0,36667,34.9000015258789
32,51.0999984741211,38.4000015258789,2004,0,141542,23.7999992370605
33,30.7999992370605,55.7999992370605,2004,0,25678,22.7000007629395
34,47.0999984741211,43.5,2004,0,2870,11.8999996185303
35,40.9000015258789,45.2000007629395,2004,0,17147,23.8999996185303
36,50.0999984741211,29.2999992370605,2004,0,12595,26.8999996185303
37,65,27.3999996185303,2004,0,66091,26.2000007629395
38,52.7999992370605,38.7999992370605,2004,0,4654,25.7999992370605
